cluster_id	status	n	member_ids	claim
NEWSET-01	new	39	K0020,K0050,K0077,K0107,K0132,K0162,K0190,K0221,K0254,K0280,K0311,K0342,K0364,K0396,K0426,K0452,K0481,K0507,K0558,K0617,K0664,K0697,K0727,K0755,K0839,K0862,K0949,X0018,X0044,X0065,X0091,X0118,X0151,X0179,X0210,X0239,X0373,X0482,X0501	None of the three new routes create_webhook_endpoint, list_webhook_endpoints and list_deliveries carries a rate-limit dependency or decorator, so each is callable without any per-caller throttle.
NEWTD-01	new	27	K0045,K0134,K0193,K0289,K0322,K0345,K0367,K0429,K0479,K0517,K0532,K0554,K0641,K0725,K0858,K0894,K0921,K0970,X0070,X0147,X0188,X0260,X0294,X0310,X0390,X0426,X0499	docs/webhooks.md states several behaviours at once that the implementation in the same change does not have — https-only URL acceptance, a signing secret that cannot be read back, jittered backoff, immediate permanent failure on 4xx, a signature over the raw request body, and delivery of every subscribed event type.
NEWSET-02	new	24	K0051,K0201,K0231,K0313,K0347,K0376,K0434,K0460,K0487,K0538,K0564,K0592,K0675,K0729,K0764,K0791,K0926,K0976,X0158,X0185,X0213,X0293,X0399,X0480	list_deliveries orders by WebhookDelivery.created_at with no unique tie-break before applying limit, and rows written by one enqueue_for_event fan-out share that timestamp, so which rows fall inside the cut is undefined among ties.
NEWDEL-01	new	12	K0104,K0133,K0168,K0257,K0512,K0700,X0019,X0047,X0126,X0244,X0508,X0097	_claim_batch orders by next_attempt_at and list_deliveries orders by created_at, both non-unique wall-clock timestamps with no unique tie-break ahead of the LIMIT, so the order among tied rows is undefined.
NEWSCH-05	new	6	K0436,K0673,K0767,K0928,X0100,X0485	webhook_deliveries.endpoint_id is declared REFERENCES webhook_endpoints (id) ON DELETE CASCADE, so deleting an endpoint destroys its entire delivery history.
NEWDEL-03	new	5	K0085,K0320,K0789,X0189,X0458	endpoint.active is filtered only in enqueue_for_event and is re-checked in neither _claim_batch nor deliver, so rows queued before an endpoint was deactivated are still POSTed to it.
NEWDEL-02	new	4	K0074,X0046,X0238,X0472	run_worker's poll body wraps _claim_batch, asyncio.gather and the Redis calls in a try whose only clause is finally, so any exception propagates out of the while True loop and terminates the worker.
NEWSCH-06	new	3	K0514,K0566,K0844	webhook_endpoints has no index on org_id, the column both list_webhook_endpoints and enqueue_for_event filter on.
B2TD-01	new	2	X0025,X0160	docs/webhooks.md describes the deliveries route as returning the most recent attempts for an endpoint belonging to your organization, a scoping the list_deliveries handler does not implement.
NEWDEL-04	new	2	K0054,K0203	backoff_for has no ceiling and is defined at attempt 0, returning 1 second there and unbounded delays if MAX_ATTEMPTS is raised.
NEWSCH-02	new	2	K0172,K0953	webhook_deliveries stores a full copy of every event payload and the full remote response_body with no retention policy, TTL, purge job, or size bound.
NEWSET-03	new	2	K0026,K0142	EndpointIn.event_types bounds neither the number of elements nor the length of each string, so an arbitrarily large array is accepted and stored in the JSONB column.
NEWTD-02	new	2	K0083,X0130	the documented retry table lists four delays (2s, 4s, 8s, 16s) while MAX_ATTEMPTS = 5 implies a fifth attempt whose 32s wait is neither documented nor covered by test_backoff_grows_exponentially, which parametrizes only attempts 1-4.
B2DIS-01	new	1	X0024	dispatch awaits enqueue_for_event inline before returning, so the caller's request path carries the webhook fan-out work instead of it being handed to a background task.
B2DIS-02	new	1	X0049	the dispatch log line's webhooks= field records whether envelope.type is in WEBHOOK_EVENT_TYPES rather than whether any delivery rows were actually created.
B2SET-01	new	1	X0074	create_webhook_endpoint passes active=True explicitly although WebhookEndpoint.active already declares default=True, so the argument restates the column default.
B2TD-02	new	1	X0430	"the test module defines its test secret as the literal ""whsec_testsecret"", duplicating signing.SECRET_PREFIX instead of deriving the value from the constant the same file imports."
NEWDEL-05	new	1	K0262	enqueue_for_event is declared async but contains no await, so its coroutine signature promises a yield to the event loop that never happens.
NEWDEL-06	new	1	K0234	the success path calls _finish with response.text, persisting the customer's 2xx response body even though nothing reads it, since WebhookDelivery.to_dict does not expose response_body.
