cluster_id	n	member_ids	claim	status
BULK-01	46	H0007,H0015,H0027,H0040,H0054,H0066,H0077,H0089,H0107,H0117,H0128,H0147,H0157,H0171,H0184,H0195,H0205,H0218,H0228,H0239,H0253,H0267,H0277,H0286,H0297,H0309,H0324,H0340,H0353,H0367,H0378,H0391,H0403,H0413,H0438,H0451,H0462,H0476,H0489,H0509,H0520,H0532,H0545,H0560,H0573,H0584	`runImport` performs stage, apply and delete as independently committing steps with no transaction, and the `importStaging.deleteMany` cleanup sits on the success path only, so an error inside `applyBatch` leaves memberships partially applied and the batch's staging rows resident.	existing
BULK-02	25	H0016,H0028,H0055,H0079,H0090,H0108,H0116,H0142,H0170,H0183,H0217,H0240,H0266,H0276,H0325,H0339,H0392,H0414,H0437,H0452,H0479,H0488,H0500,H0521,H0585	`batchId` is `${ctx.orgId}-${ctx.requestId}` where `requestId` is the unvalidated client `x-request-id` header, and `import_staging` carries no tenant column and no uniqueness constraint, so the caller names the sole key that `applyBatch`'s `findMany` and `runImport`'s `deleteMany` select on.	existing
BULK-03	27	H0003,H0014,H0025,H0038,H0052,H0064,H0074,H0087,H0103,H0114,H0126,H0141,H0153,H0179,H0238,H0262,H0275,H0335,H0412,H0436,H0449,H0474,H0486,H0497,H0507,H0518,H0582	Nothing bounds the role a CSV row grants against the actor's own role: the route admits `session.role === "admin"`, `ALLOWED_ROLES` accepts `"owner"`, and `applyBatch` writes `row.role` into both the create and update branches of the membership upsert.	existing
BULK-04	8	H0023,H0035,H0072,H0111,H0150,H0189,H0334,H0591	The only email validation in the change is `applyBatch`'s `row.email.includes("@")`, applied inside the promotion loop rather than at the parse boundary, and it admits values such as `"@"`, `"a@"`, and addresses with no length or format bound.	existing
BULK-06	18	H0022,H0046,H0056,H0095,H0163,H0188,H0299,H0315,H0343,H0360,H0385,H0394,H0427,H0465,H0498,H0534,H0552,H0590	`applyBatch` loads the whole batch with an unbounded `findMany` and issues one awaited `upsert` per row inside the HTTP request, with no row-count cap and none of the chunking `stageRows` applies.	existing
BULK-07	1	H0472	`stageRows` increments `staged` by `chunk.length` instead of the `count` returned by `createMany`, so `ImportSummary.staged` reports rows submitted rather than rows inserted.	existing
BULK-08	6	H0044,H0053,H0244,H0426,H0544,H0559	`docs/import.md` and the `applyBatch` docstring state that the staging writes are the single audit exception and that the promotion step runs audited as normal, which the implementation does not deliver.	existing
BULK-09	2	H0165,H0528	Nothing de-duplicates parsed rows by email, so the same address listed twice in one CSV is upserted twice and increments `applied` twice for a single resulting membership.	existing
BULK-10	2	H0164,H0175	`runImport` stages, promotes and deletes the batch inside one request and no route exposes a staged batch, so the "operator can inspect before applying" step that `docs/import.md` and the `stageRows` comment describe has no backing path.	existing
BULK-11	6	H0048,H0061,H0100,H0137,H0272,H0514	Rejected rows are reported only as an integer count with no row identity or reason, and the staging rows that would identify them are deleted in the same request.	existing
BULK-18	1	H0446	The `staged`, `applied` and `rejected` counters do not reconcile against the uploaded file — rows dropped by `parseRows` and rows never attempted after an early exit are counted nowhere.	existing
BULK-19	1	H0372	`applyBatch` re-reads `role` out of `import_staging` and writes it into `membership` with no re-validation against `ALLOWED_ROLES`, and the staging column carries no `CHECK`, so the parser's allowlist does not survive the staging round trip.	existing
BULK-25	1	H0441	`parseRows` resolves column positions with `cols.indexOf(...)`, which returns `-1` for an absent column, and `f[-1] ?? ""` then yields an empty string for every row, so a CSV whose header omits `email` parses without error and every row is silently rejected later.	existing
BULK-28	1	H0235	The 5 MB body ceiling and the 200-row chunk size are each written independently in `src/routes/import.ts`, `src/import/bulk.ts` and `docs/import.md`, so changing either constant leaves the prose asserting the old figure.	new
