cluster_id	status	n	member_ids	claim
R21-API-01	new	52	F0024,F0025,F0026,F0028,F0029,F0030,F0031,F0032,F0033,F0034,F0035,F0036,F0037,F0038,F0039,F0040,F0041,F0042,F0043,F0044,F0045,F0046,F0047,F0048,F0049,F0050,F0051,F0053,F0054,F0055,F0056,F0057,F0061,F0130,F0131,F0132,F0134,F0135,F0136,F0137,F0138,F0139,F0140,F0141,F0142,F0143,F0144,F0242,F0390,F0391,F0392,F0393	The DELETE /v1/export-schedules/{id} path is not tenant-scoped: `(*exportHandler).delete` never reads `auth.OrgFromContext` and `(*Store).Delete` runs `DELETE FROM export_schedules WHERE id = $1` with no `org_id` predicate, so an authenticated caller from one org can delete another org's schedule by its id.
R21-API-02	new	9	F0058,F0059,F0060,F0145,F0146,F0243,F0244,F0245,F0406	`(*Store).Delete` discards the `sql.Result` from `ExecContext`, so `(*exportHandler).delete` answers 204 for an id that matched no row, making a deletion that removed nothing indistinguishable from one that removed a schedule.
R21-API-03	new	5	F0418,F0423,F0647,F0651,F0657	`exports.Destination` tags `AccessKey`/`SecretKey` as ordinary JSON fields with no redaction or response DTO, so `create` and `list` serialize the customer's destination bucket credentials back in their responses, contradicting docs/scheduled-exports.md's statement that the credentials are never handed back by the API.
R21-API-04	new	8	F0100,F0591,F0593,F0594,F0997,F1057,F1059,F1060	Nothing caps how many export schedules one org can create — `(*exportHandler).create` performs no per-org count check and the `export_schedules` table carries no count or uniqueness constraint — so a single authenticated org can install unbounded permanent recurring work for the worker.
R21-API-05	new	7	F0610,F0695,F0821,F0822,F0823,F0824,F0925	`(*exportHandler).create` decodes the request body with a bare `json.NewDecoder(r.Body).Decode(&body)`: there is no `http.MaxBytesReader` bounding the body and no `DisallowUnknownFields`, so an arbitrarily large payload is buffered into memory and a misspelled key such as `time_zone` is silently dropped instead of rejected.
R21-API-06	new	1	F0626	`(*Schedule).Validate` checks `Name`, `Destination.Bucket`, `Region`, `Prefix` and the credential fields for presence but never for length, and the migration stores them in unbounded `TEXT` columns, so arbitrarily long strings are persisted.
R21-API-07	new	2	F0255,F0380	"`HourOfDay int` in `create`'s request struct uses Go's zero value as both ""field absent"" and the legitimate hour 0, so a request that omits `hour_of_day` is indistinguishable from one explicitly asking for midnight, unlike `Timezone` which gets an explicit default."
R21-API-08	new	1	F0304	`(*Schedule).Validate` never checks that `Timezone` resolves through `time.LoadLocation` or that `Destination.Region` is non-empty, and `NextRun` swallows the `LoadLocation` error into `loc = time.UTC`, so an invalid IANA zone is accepted at the API boundary and silently runs in UTC despite the documentation requiring an IANA name.
R21-API-09	new	1	F0066	`GET /v1/export-schedules` is unpaginated: `(*Store).ListByOrg` selects every row for the org with no limit or cursor and `(*exportHandler).list` serializes all of them.
R21-API-10	new	1	F0052	No route or store method ever changes `Schedule.Enabled` after creation, so there is no way to pause a schedule and the only way to stop one is to delete it, losing the stored destination credentials with it.
R21-API-11	new	1	F0787	The first run of a new schedule exports rows from before the schedule existed, because `NextRunAt` is set from creation time while `Worker.export` always reaches one full `window(s.Cadence)` back from the run start — up to seven days for a weekly schedule.
R21-API-12	new	1	F0793	The newly added HTTP handlers, `Store` and its methods (`NewStore`, `Create`, `ListByOrg`, `Due`, `query`, `Record`, `Delete`), and the `Worker` ship with no tests, since internal/exports/exports_test.go covers only `Validate`, `NextRun`, `objectKey` and `formatValue`.
R21-DOC-01	new	1	F0934	"docs/scheduled-exports.md claims destination credentials are ""stored encrypted and are never handed back by the API"", but Destination.AccessKey/SecretKey carry plain json tags so writeJSON in exportHandler.create and list return the secret key, and Store.Create inserts it verbatim into the plaintext dest_secret_key TEXT column."
R21-DOC-02	new	1	F0946	"docs/scheduled-exports.md says the worker ""polls every 30 seconds and takes whatever is due"", but Worker.tick calls store.Due with dueBatchSize = 25, so more than 25 due schedules leave the remainder for a later tick."
R21-MDL-01	new	42	F0001,F0002,F0150,F0151,F0152,F0153,F0155,F0156,F0437,F0438,F0439,F0440,F0443,F0444,F0445,F0446,F0448,F0555,F0557,F0558,F0559,F0560,F0577,F0578,F0588,F0589,F0595,F0597,F0598,F0599,F0924,F0927,F0929,F0930,F0935,F0936,F0937,F0940,F0942,F0943,F1058,F1061	`Store.Due` selects due rows with a plain SELECT — no FOR UPDATE SKIP LOCKED, no lease or claim column, no transaction spanning the read and the later `Store.Record` write, which only advances `next_run_at` after the export has finished — so every live worker selects and runs the same due schedule, contradicting docs/scheduled-exports.md, which states a schedule is claimed by one worker and a due run happens once even with several workers live.
R21-MDL-02	new	42	F0116,F0117,F0407,F0408,F0410,F0413,F0414,F0415,F0416,F0417,F0419,F0420,F0422,F0424,F0425,F0426,F0638,F0639,F0640,F0641,F0642,F0643,F0644,F0645,F0646,F0648,F0649,F0650,F0652,F0653,F0654,F0655,F0656,F0658,F0659,F0660,F0697,F0704,F0705,F0708,F0709,F0710	`Destination.AccessKey` and `Destination.SecretKey` carry ordinary JSON tags (access_key / secret_key) with no suppression and `Schedule` embeds `Destination` by value, so `exportHandler.create` and `exportHandler.list`, which marshal whole `Schedule` values, return the customer's bucket credentials in every create and list response — contradicting docs/scheduled-exports.md, which states the credentials are never handed back by the API.
R21-MDL-03	new	3	F0409,F0421,F0429	`Worker.runSchedule` hands the whole `Destination` struct to `w.log.Error` on the export-failure path, so the customer's access key and secret key are written into the worker's logs as well as being serialized into the API responses.
R21-MDL-04	new	4	F0999,F1017,F1018,F1019	`Store.Create` inserts `Destination.AccessKey` and `Destination.SecretKey` verbatim into the plain TEXT columns `dest_access_key` / `dest_secret_key`, with no encryption anywhere in the change, contradicting docs/scheduled-exports.md, which states the destination credentials are stored encrypted.
