id	arm	review	part	severity	target	file	title	what_is_wrong
F0001	W	2	a	Critical	(other)	`internal/exports/model.go` — `Store.Due` (`WHERE enabled AND next_run_at <= $1 ORDER BY next_run_at LIMIT $2`) with `internal/exports/worker.go` `tick` / `runSchedule`	"""A schedule is claimed by one worker"" is not implemented"	"`Due` is a plain `SELECT` with no claim, no lock, and no state transition, and `Store.Record` only advances `next_run_at` after the export has already been uploaded, so every worker in the fleet selects the same due rows and runs them — while `docs/scheduled-exports.md` claims ""a schedule is claimed by one worker, so a due run happens once even with several workers live""."
F0002	W	4	a	Critical	(other)	internal/exports/model.go — `(*Store).Due`; internal/exports/worker.go — `(*Worker).tick`/`runSchedule`	"""a schedule is claimed by one worker"" is documented but nothing claims anything"	`Due` is a plain `SELECT ... WHERE enabled AND next_run_at <= $1` with no `FOR UPDATE SKIP LOCKED`, no claim column and no transaction spanning the read and the `Record` write, so every worker process selects the same due rows and runs them concurrently — R5 (read then separate write, TOCTOU) and R49 (docs/scheduled-exports.md asserts single-claim semantics as an enforceable property).
F0003	W	8	a	Major	(other)	`internal/exports/worker.go` — `(*Worker).export`, `ORDER BY occurred_at LIMIT %d` with `maxRows = 500000`	500 000-row LIMIT truncates silently, on a non-total order	A window with more than `maxRows` rows is cut with no signal of any kind, and the cut is made on `occurred_at` alone — a wall-clock value with no uniqueness or total order, so which rows land on either side of the boundary is undefined among same-instant records (R57).
F0004	W	3	b	Major	(other)	internal/exports/worker.go — `maxRows`, the `LIMIT %d` in `Worker.export`, `ORDER BY occurred_at`	500,000-row truncation is silent and the ordering key has no total order	a window with more than `maxRows` rows is cut without any signal — `serialize` returns `n` and the run is recorded `succeeded` — and because `occurred_at` is a wall-clock timestamp with ties, which rows fall on the losing side of the cut is undefined.
F0005	W23	6	b	Major	(other)	`internal/exports/worker.go` — `maxRows`, the `LIMIT %d` in `Worker.export`	500k-row cap truncates the export silently and the missing rows are never re-exported	the query caps at `maxRows` with no detection of having hit the cap, so a busy org's window is cut off at exactly 500000 rows and the run still reports `succeeded`; because the next window starts after this one ends, the discarded rows are never exported by any later run.
F0006	W	2	a	Major	(other)	`internal/exports/worker.go` — `export`, `LIMIT %d` with `maxRows = 500000`, and `ORDER BY occurred_at`	A window larger than maxRows is silently truncated and reported as a success	The query caps the result at 500,000 rows with no signal, so an oversized window produces a short file that `runSchedule` records as `succeeded`; worse, `occurred_at` is not a total order, so which rows survive the cut among same-instant records is undefined.
F0007	W23	1	c	Minor	(other)	internal/exports/schedule.go — `NextRun`, `next = next.AddDate(0, 0, 1)`	AddDate across a DST transition can shift the local hour	`AddDate` normalises a wall-clock time that does not exist in the target zone (the spring-forward gap), so a schedule set to an hour inside the gap fires an hour off on that day.
F0008	W23	8	b	Major	(other)	internal/exports/worker.go — `serialize`, JSONL branch `record[col] = values[i]` versus CSV branch `record[i] = formatValue(values[i])`	CSV and JSONL do not carry the same values for the same row	"the CSV branch routes every value through `formatValue`, which stringifies `[]byte` and normalises `time.Time` to `t.UTC().Format(time.RFC3339)`, while the JSONL branch hands the raw driver value to `encoding/json` — which base64-encodes `[]byte` (the shape most Postgres text and bytea columns scan into through `any`) and marshals `time.Time` in its original offset — so docs/scheduled-exports.md's promise that JSONL carries ""those same keys and the same values"" and that ""Timestamps are RFC 3339 in UTC"" is false for the JSONL format. The helper the JSONL path needs already exists in the same function's sibling branch (`formatValue`), which is the codebase-awareness evidence: this is a helper-adoption gap, not a missing capability."
F0009	W	9	a	Major	(other)	`internal/exports/worker.go` — `serialize`'s JSONL branch (`record[col] = values[i]`) vs its CSV branch (`formatValue`)	CSV and JSONL do not carry the same values, and text columns arrive base64-encoded in JSONL	"the CSV branch normalises through `formatValue` (`[]byte` → string, `time.Time` → UTC RFC 3339) while the JSONL branch encodes the raw driver value, and `encoding/json` renders a `[]byte` as base64 and a `time.Time` in the connection's location with nanoseconds — contradicting the docs' ""one object per line with those same keys and the same values"" and ""Timestamps are RFC 3339 in UTC"" (R40: the producer's wire shape does not match the contract its consumer was handed)."
F0010	W	7	c	Major	(other)	`internal/exports/worker.go` — `formatValue` and the CSV branch of `serialize`; `contentType` (`text/csv`)	CSV cells are not neutralised against spreadsheet formula injection	`formatValue` renders values verbatim and `csv.Writer` quotes fields but does not neutralise a leading `=`, `+`, `-`, `@`, TAB or CR, while the exported rows are analytics events whose properties originate from the customer's own end users — untrusted text on its way into a file explicitly served as `text/csv`.
