cluster_id	n	member_ids	claim	status
BULK-01	23	J0159,J0170,J0182,J0195,J0208,J0219,J0231,J0243,J0257,J0267,J0283,J0296,J0307,J0319,J0334,J0358,J0370,J0380,J0391,J0405,J0418,J0430,J0444	`runImport` performs stage, apply and delete as independently committing steps with no transaction, and the `importStaging.deleteMany` cleanup sits on the success path only, so an error inside `applyBatch` leaves memberships partially applied and the batch's staging rows resident.	existing
BULK-02	18	J0132,J0153,J0169,J0183,J0210,J0220,J0242,J0268,J0282,J0295,J0320,J0335,J0345,J0369,J0392,J0404,J0419,J0445	`batchId` is `${ctx.orgId}-${ctx.requestId}` where `requestId` is the unvalidated client `x-request-id` header, and `import_staging` carries no tenant column and no uniqueness constraint, so the caller names the sole key that `applyBatch`'s `findMany` and `runImport`'s `deleteMany` select on.	existing
BULK-03	17	J0157,J0168,J0191,J0230,J0241,J0266,J0280,J0294,J0318,J0344,J0356,J0366,J0378,J0390,J0402,J0415,J0428	Nothing bounds the role a CSV row grants against the actor's own role: the route admits `session.role === "admin"`, `ALLOWED_ROLES` accepts `"owner"`, and `applyBatch` writes `row.role` into both the create and update branches of the membership upsert.	existing
BULK-04	7	J0075,J0142,J0200,J0234,J0249,J0290,J0399	The only email validation in the change is `applyBatch`'s `row.email.includes("@")`, applied inside the promotion loop rather than at the parse boundary, and it admits values such as `"@"`, `"a@"`, and addresses with no length or format bound.	existing
BULK-05	4	J0007,J0077,J0085,J0135	The upsert's `update` branch unconditionally rewrites `role` on an existing membership while `parseRows` coerces a missing or unrecognised role cell to the literal `"member"`, so a CSV that omits the role column silently demotes existing members.	existing
BULK-06	6	J0068,J0074,J0274,J0284,J0325,J0434	`applyBatch` loads the whole batch with an unbounded `findMany` and issues one awaited `upsert` per row inside the HTTP request, with no row-count cap and none of the chunking `stageRows` applies.	existing
BULK-07	4	J0047,J0056,J0064,J0117	`stageRows` increments `staged` by `chunk.length` instead of the `count` returned by `createMany`, so `ImportSummary.staged` reports rows submitted rather than rows inserted.	existing
BULK-08	1	J0279	`docs/import.md` and the `applyBatch` docstring state that the staging writes are the single audit exception and that the promotion step runs audited as normal, which the implementation does not deliver.	existing
BULK-09	16	J0002,J0013,J0017,J0021,J0058,J0067,J0080,J0089,J0099,J0111,J0123,J0128,J0133,J0201,J0328,J0438	Nothing de-duplicates parsed rows by email, so the same address listed twice in one CSV is upserted twice and increments `applied` twice for a single resulting membership.	existing
BULK-10	14	J0008,J0018,J0030,J0082,J0086,J0095,J0102,J0107,J0115,J0118,J0129,J0172,J0196,J0350	`runImport` stages, promotes and deletes the batch inside one request and no route exposes a staged batch, so the "operator can inspect before applying" step that `docs/import.md` and the `stageRows` comment describe has no backing path.	existing
