id	arm	review	part	severity	file	title	what_is_wrong
J0001	C	1	0	Major	`src/import/bulk.ts` — `applyBatch`, `create: { … role: row.role }` / `update: { … role: r	the role that reaches `membership.upsert` is read back from a column with no CHECK, so `ALLOWED_ROLES` does not survive the persistence round-trip	the only role allowlist in the change is `ALLOWED_ROLES` in `src/import/parse.ts`, but the value written to `membership` is `row.role` taken from `prisma.importStaging.findMany`, and the staging column is unconstrained `text`, so the validated value and the used value are separated by a write and a read that nothing re
J0002	C	1	0	Major	`src/import/bulk.ts` — `applyBatch`, `await prisma.importStaging.findMany({ where: { batch	duplicate emails in one batch resolve to an arbitrary role, because the staging read has no order and the table has no uniqueness	a CSV containing the same email twice with different roles stages two rows, `findMany` has no `orderBy` so the engine may return them in either order, and the second `upsert` overwrites the first — the winning role is decided by physical row order, not by the file.
J0003	C	1	0	Major	`src/import/parse.ts` — `splitLine`, the `if (c === '"')` branch, and `parseRows`'s `const	one unbalanced quote anywhere in a line silently merges the rest of the row into a single field and resets the role	`splitLine` toggles `quoted` on every `"` and never checks that it is `false` when the line ends, so a lone quote in an unquoted field (an inch mark, an apostrophe typed as `"`, a name like `O"Brien`) swallows every remaining comma — executed: `splitLine('a@x.com,Ann 5" tall,admin')` returns `["a@x.com","Ann 5 tall,adm
J0004	C	1	0	Major	`src/audit/guard.ts` — `logger.debug({ model, action, requestId: ctx.requestId }, "audit s	the audit-suspension path logs below the level of the write it replaces and without the actor, so the bypass leaves no attributable trace	the branch that turns the control off emits strictly less evidence than the branch that leaves it on — one severity level lower, and with `actorId` dropped from the payload even though `ctx.actorId` is in scope on that line.
J0005	C	1	0	Major	`src/routes/import.ts` — `await prisma.orgActivity.create({ data: { … detail: \`${result.a	the org-activity record is not on the failure path and carries no role deltas, so a partial or self-serving import leaves nothing to reconstruct	the only durable record this change writes about an import is created strictly after `runImport` returns, so any throw inside it writes nothing at all, and the record's `detail` is two counts — it names no `batchId`, no email, and no role that changed.
J0006	C	1	0	Major	`test/import/parse.test.ts` — `it("keeps an allowed role", …)` asserting `parseRows(header	the test suite pins `owner` as correct parser output, so the fix for the reported privilege-escalation Critical arrives as a red test	the one behaviour that makes the escalation possible is the only role behaviour the suite asserts positively, and there is no counterpart test that a role the actor is not entitled to grant is refused, so the suite states the vulnerable behaviour as the specification.
J0007	C	1	1	Critical	`src/import/bulk.ts` — `applyBatch`, `update: { displayName, role }`; `src/import/parse.ts	the promotion upsert is a full-state replace, and the parser manufactures values for columns the CSV never had	`parseRows` cannot distinguish "the file did not carry this column" from "the file set this field", so an absent `name` column yields `""` and an absent or unrecognised `role` yields `"member"`, and `applyBatch`'s `update` clause writes both unconditionally over the existing membership.
J0008	C	1	1	Critical	`src/import/bulk.ts` — `stageRows` doc comment ("scratch rows the operator can inspect bef	the audit exemption is justified by an inspect-before-apply step that does not exist	`runImport` calls `stageRows`, `applyBatch` and `deleteMany` back to back inside one request with no return to the caller in between, and the diff adds no endpoint that lists or approves a batch, so there is no moment at which an operator can inspect or discard anything — yet that non-existent step is the stated reason
J0009	C	1	1	Major	`src/import/parse.ts` — `ALLOWED_ROLES`; `src/import/bulk.ts` — `applyBatch` (`findMany({ 	the role allowlist is enforced only at parse time, and the privileged sink re-reads the role from a table that has no constraint and no tenancy column	the only thing that ever compares a role against the allowlist is `parseRows`, one commit boundary earlier; between it and the `membership.upsert` the value makes a durable round trip through a table whose key is the caller-nameable `batch_id` (per the reported `x-request-id` finding), and the sink re-derives its subje
J0010	C	1	1	Major	`src/routes/import.ts` — `prisma.orgActivity.create` placed after `await runImport(csv)` i	the only record that an import happened is written on the success path only, and inside the audit suspension	the activity row is the sole compensating record for writes whose audit was deliberately suspended, yet it is sequenced after `runImport` with no `try`/`catch`/`finally`, so any throw inside `runImport` skips it — and because `stageRows` set `ctx.skipAudit` on the same live context (the reported leak), this `create` is
