id	arm	review	part	severity	file	title	what_is_wrong
K0001	T	1	0	Major	src/import/bulk.ts — `applyBatch`, the `update: { displayName: row.displayName, role: row.	the upsert's `update` branch overwrites an existing member's `displayName` with `""` whenever the CSV cell is blank	`parseRows` collapses three distinct inputs — an absent `name` column (`iName === -1` → `f[-1]` is `undefined`), a blank cell, and a whitespace-only cell — into the same empty string, and `applyBatch` then writes that empty string unconditionally over the stored `display_name` of every email that already has a membersh
K0002	T	1	0	Major	src/import/bulk.ts — `applyBatch` loop over `staged`, and `stageRows`'s `staged += chunk.l	a duplicated email inside one CSV decides that member's role by file order, and both `staged` and `applied` count rows rather than members	nothing in `parseRows`, in `stageRows`, or in `migrations/0058_import.sql` (which indexes `batch_id` but places no unique constraint on `(batch_id, email)`) deduplicates rows, so two rows with the same email are staged twice and upserted twice with the last one silently winning, while `staged` is derived from the input
K0003	T	1	0	Major	src/import/parse.ts — `parseRows`, `const role = (f[iRole] ?? "member").trim();` and `ALLO	role values are the one field `parseRows` does not case-normalize, so `Admin` and `OWNER` silently become `member` with no rejection signal	the same function lowercases the header columns (`cols = splitLine(header).map((c) => c.trim().toLowerCase())`) and lowercases every email (`.trim().toLowerCase()`) but compares the role against `ALLOWED_ROLES` with case intact, so any capitalized spelling misses the allowlist, and the resulting downgrade is counted in
K0004	T	1	0	Major	test/import/parse.test.ts — `it("defaults a missing role to member")`	the "defaults a missing role to member" test is green through the negative-index path, so it cannot fail on the header bug and will red when that bug is fixed	the fixture header is `"email,name"`, so `cols.indexOf("role")` is `-1`, `f[-1]` is `undefined`, and the assertion's expected value `"member"` is produced by the `?? "member"` fallback on an out-of-range read rather than by any deliberate default — and `"member"` is also `ALLOWED_ROLES`'s own floor, so an implementatio
K0005	T	1	1	Critical	`src/import/bulk.ts` — `applyBatch`, the `update:` object; with `src/import/parse.ts` — `p	the `upsert` update branch cannot tell "the CSV said member" from "the CSV did not say", so a partial or differently-cased import silently demotes roles and blanks display names	`parseRows` collapses "column absent", "cell empty" and "value not recognised" into the same concrete defaults (`role: "member"`, `displayName: ""`) — and because the membership test is case-sensitive while the header row two lines above it is normalised with `.toLowerCase()`, a spreadsheet-exported `Owner`/`Admin` als
K0006	T	1	1	Major	`src/routes/import.ts` — `POST`, the `MAX_CSV_BYTES` check; `src/import/parse.ts` — `parse	bytes are the only dimension validated, so row count and field length are unbounded	this extends, and is not a restatement of, the reported defects in the 5 MB cap — even a correct byte cap applied before buffering bounds nothing else, because there is no cap on the number of data rows and no length limit on any cell, at the route, in `parseRows`, or in the schema (`text` with no constraint). Per RS3 
K0007	T	1	1	Major	`migrations/0058_import.sql` — `import_staging`; `src/import/bulk.ts` — `applyBatch` / `ru	staging records no per-row outcome, so a failed batch is neither resumable nor attributable — and a retried request re-stages a second copy of every row	this is a correction to the reported "no transaction / staged rows leak" findings rather than a repeat of them — the remedy those imply (wrap stage → apply → cleanup in one transaction) is not available at the documented 5 MB limit, since that is up to ~250,000 rows with one `upsert` round-trip each held open in a sing
K0008	T	1	1	Major	`test/import/parse.test.ts` — `it("defaults a missing role to member")`	the only absent-column test covers the optional column and passes through the same negative index that makes an absent required column silent	this is the test-side addition to the already-reported header defects, not a restatement of them — with `cols = ["email","name"]`, `iRole` is `-1`, so the assertion is satisfied by `f[-1]` being `undefined`, meaning the suite's one absent-column case is green *because of* the unguarded `indexOf` result rather than in s
K0009	T	1	1	Minor	`src/import/bulk.ts` — `applyBatch`, the `for (const row of staged)` loop	a CSV listing the same email twice applies it twice and over-counts `applied`	neither `parseRows` nor `applyBatch` deduplicates on email, so two rows for one address produce two `upsert` calls where the second silently wins, and `applied` counts both.
K0010	T	1	2	Major	`src/import/parse.ts` — `parseRows`, `ALLOWED_ROLES.includes(role) ? role : "member"`	the role allowlist is case-sensitive while the email beside it is normalized, so `Admin` silently becomes `member`	the row's email is normalized with `.trim().toLowerCase()` two lines above, but `role` is only `.trim()`ed before an exact-match membership test, so a spreadsheet-exported `Admin`/`OWNER`/`Owner` fails the test and is coerced to `member` with no rejection and no signal.
