cluster_id	n	member_ids	claim	status
BULK-01	18	K0233,K0247,K0259,K0271,K0283,K0299,K0308,K0320,K0335,K0346,K0356,K0369,K0382,K0396,K0413,K0428,K0441,K0450	`runImport` performs stage, apply and delete as independently committing steps with no transaction, and the `importStaging.deleteMany` cleanup sits on the success path only, so an error inside `applyBatch` leaves memberships partially applied and the batch's staging rows resident.	existing
BULK-02	13	K0086,K0232,K0248,K0260,K0270,K0298,K0332,K0345,K0357,K0384,K0401,K0430,K0440	`batchId` is `${ctx.orgId}-${ctx.requestId}` where `requestId` is the unvalidated client `x-request-id` header, and `import_staging` carries no tenant column and no uniqueness constraint, so the caller names the sole key that `applyBatch`'s `findMany` and `runImport`'s `deleteMany` select on.	existing
BULK-03	9	K0231,K0245,K0268,K0281,K0331,K0411,K0425,K0436,K0449	Nothing bounds the role a CSV row grants against the actor's own role: the route admits `session.role === "admin"`, `ALLOWED_ROLES` accepts `"owner"`, and `applyBatch` writes `row.role` into both the create and update branches of the membership upsert.	existing
BULK-04	10	K0052,K0096,K0106,K0178,K0213,K0292,K0385,K0403,K0419,K0445	The only email validation in the change is `applyBatch`'s `row.email.includes("@")`, applied inside the promotion loop rather than at the parse boundary, and it admits values such as `"@"`, `"a@"`, and addresses with no length or format bound.	existing
BULK-05	3	K0005,K0031,K0082	The upsert's `update` branch unconditionally rewrites `role` on an existing membership while `parseRows` coerces a missing or unrecognised role cell to the literal `"member"`, so a CSV that omits the role column silently demotes existing members.	existing
BULK-06	15	K0049,K0060,K0063,K0169,K0175,K0183,K0236,K0261,K0275,K0302,K0337,K0362,K0373,K0414,K0443	`applyBatch` loads the whole batch with an unbounded `findMany` and issues one awaited `upsert` per row inside the HTTP request, with no row-count cap and none of the chunking `stageRows` applies.	existing
BULK-07	8	K0025,K0036,K0056,K0135,K0166,K0200,K0222,K0407	`stageRows` increments `staged` by `chunk.length` instead of the `count` returned by `createMany`, so `ImportSummary.staged` reports rows submitted rather than rows inserted.	existing
BULK-09	8	K0002,K0009,K0029,K0066,K0075,K0208,K0278,K0352	Nothing de-duplicates parsed rows by email, so the same address listed twice in one CSV is upserted twice and increments `applied` twice for a single resulting membership.	existing
BULK-10	14	K0028,K0064,K0077,K0083,K0104,K0109,K0131,K0143,K0186,K0195,K0205,K0211,K0220,K0397	`runImport` stages, promotes and deletes the batch inside one request and no route exposes a staged batch, so the "operator can inspect before applying" step that `docs/import.md` and the `stageRows` comment describe has no backing path.	existing
BULK-11	9	K0043,K0054,K0061,K0072,K0089,K0153,K0184,K0203,K0241	Rejected rows are reported only as an integer count with no row identity or reason, and the staging rows that would identify them are deleted in the same request.	existing
