cluster_id	status	n	member_ids	claim
B2DIS-02	existing	1	F0227	the dispatch log line's webhooks= field records whether envelope.type is in WEBHOOK_EVENT_TYPES rather than whether any delivery rows were actually created.
DELIVERY-01	existing	36	F0305,F0358,F0359,F0360,F0361,F0362,F0363,F0364,F0365,F0366,F0367,F0368,F0369,F0370,F0371,F0372,F0373,F0374,F0375,F0376,F0377,F0378,F0379,F0380,F0381,F0382,F0383,F0384,F0385,F0386,F0387,F0388,F0389,F0390,F0391,F0392	deliver backs off with the blocking time.sleep(delay) inside an async coroutine, stalling the event loop and every other gathered delivery for the duration.
DELIVERY-02	existing	34	F0252,F0253,F0254,F0255,F0256,F0257,F0258,F0259,F0260,F0261,F0262,F0263,F0264,F0265,F0269,F0304,F0397,F0398,F0402,F0411,F0412,F0413,F0419,F0483,F0517,F0524,F0586,F0587,F0588,F0589,F0590,F0591,F0592,F0601	_claim_batch returns ORM rows loaded inside with session_scope(), so later attribute reads in deliver and send_once touch detached, expired instances.
DELIVERY-04	existing	36	F0490,F0491,F0492,F0493,F0494,F0495,F0496,F0497,F0498,F0499,F0500,F0501,F0502,F0503,F0504,F0505,F0507,F0525,F0526,F0527,F0528,F0529,F0530,F0531,F0532,F0533,F0534,F0535,F0536,F0537,F0538,F0539,F0540,F0541,F0542,F0556	_acquire_lock reads LOCK_KEY and then sets it as separate operations, so two workers that both observe an empty key both acquire the lock.
DELIVERY-08	existing	1	F0506	_claim_batch selects pending rows with no FOR UPDATE SKIP LOCKED and no conditional update, so concurrent claimers can select and deliver the same rows.
DELIVERY-09	existing	35	F0317,F0318,F0319,F0320,F0321,F0322,F0323,F0324,F0325,F0326,F0327,F0328,F0329,F0330,F0331,F0332,F0333,F0334,F0335,F0336,F0337,F0338,F0339,F0340,F0341,F0342,F0395,F0403,F0404,F0409,F0410,F0422,F0481,F0482,F0484	rows flipped to in_flight by _claim_batch are moved on only by _finish and nothing resets stale in_flight rows, so a crash or unhandled exception strands them outside the pending query permanently.
DELIVERY-10	existing	6	F0300,F0343,F0472,F0480,F0554,F0555	retry state is held in the local attempt counter and attempts/next_attempt_at are written only by the terminal _finish, so progress is lost across restarts and the next_attempt_at schedule is never used.
DELIVERY-11	existing	23	F0244,F0245,F0246,F0247,F0248,F0249,F0250,F0251,F0421,F0473,F0474,F0475,F0476,F0477,F0478,F0479,F0544,F0559,F0560,F0561,F0562,F0563,F0564	deliver treats every response outside 200-299 as retryable and re-POSTs it up to MAX_ATTEMPTS, so a 4xx is retried instead of being marked permanent immediately.
DELIVERY-12	existing	4	F0414,F0543,F0792,F0798	backoff_for returns exactly BASE_DELAY_SECONDS ** attempt seconds with no randomisation, so there is no jitter and deliveries failing together retry at the same instants.
DELIVERY-13	existing	36	F0303,F0311,F0312,F0313,F0314,F0315,F0316,F0430,F0431,F0432,F0433,F0434,F0435,F0436,F0437,F0438,F0439,F0440,F0441,F0442,F0443,F0444,F0445,F0446,F0447,F0448,F0449,F0450,F0451,F0452,F0453,F0454,F0455,F0456,F0457,F0594	enqueue_for_event writes next_attempt_at=datetime.utcnow(), a naive value, while _claim_batch compares against the aware datetime.now(timezone.utc).
DELIVERY-14	existing	30	F0270,F0271,F0272,F0273,F0274,F0275,F0276,F0277,F0278,F0279,F0280,F0281,F0282,F0283,F0284,F0285,F0286,F0287,F0288,F0289,F0290,F0291,F0292,F0293,F0294,F0295,F0296,F0297,F0357,F0599	_finish assigns row.status immediately after session.get without a None check, raising AttributeError when the delivery row no longer exists.
DELIVERY-17	existing	5	F0299,F0396,F0459,F0460,F0461	asyncio.gather is called without return_exceptions=True, so the first delivery to raise propagates out and its sibling coroutines are abandoned.
DELIVERY-18	existing	8	F0301,F0302,F0345,F0346,F0353,F0354,F0355,F0356	batch is assigned only inside the try while if not batch is evaluated after the try/finally, so a failure in _claim_batch can reach the test with batch unbound.
DELIVERY-19	existing	1	F0466	the delivery AsyncClient is constructed with follow_redirects=True, so a receiver can redirect the signed payload and its signature headers to another host.
DELIVERY-20	existing	30	F0417,F0418,F0423,F0424,F0425,F0426,F0463,F0464,F0467,F0468,F0469,F0485,F0486,F0488,F0523,F0547,F0548,F0549,F0550,F0551,F0552,F0553,F0558,F0565,F0566,F0567,F0568,F0569,F0570,F0571	send_once logs the full header dict at INFO, writing the X-Acme-Signature and timestamp values into application logs on every attempt.
DELIVERY-21	existing	13	F0298,F0344,F0470,F0471,F0545,F0546,F0557,F0580,F0581,F0593,F0596,F0597,F0598	_finish stores the remote response.text in response_body with no truncation or size bound, so a receiver controls how much content is persisted per attempt.
DELIVERY-25	existing	2	F0399,F0405	enqueue_for_event, _claim_batch and _finish perform blocking synchronous SQLAlchemy work while called from coroutines, so every database round trip stalls the event loop.
DELIVERY-30	existing	7	F0407,F0408,F0465,F0518,F0519,F0520,F0521	the POSTed body is the bare event payload with no event_id or event_type in the body or headers, so a receiver has no id to deduplicate on.
DISPATCH-01	existing	28	F0177,F0178,F0179,F0180,F0181,F0182,F0183,F0184,F0185,F0195,F0196,F0199,F0206,F0207,F0208,F0209,F0210,F0211,F0214,F0224,F0225,F0226,F0232,F0234,F0235,F0237,F0238,F0239	dispatch gates the webhook enqueue on the hardcoded three-entry WEBHOOK_EVENT_TYPES set, so an endpoint subscribed to any other type, or to all types via an empty event_types, receives nothing.
DISPATCH-02	existing	28	F0186,F0187,F0190,F0191,F0192,F0193,F0194,F0197,F0198,F0200,F0201,F0202,F0203,F0204,F0215,F0216,F0217,F0218,F0219,F0220,F0221,F0222,F0223,F0228,F0229,F0240,F0241,F0242	the except Exception around enqueue_for_event logs a warning and lets dispatch return the event id as success, so a failed enqueue drops the webhook with no retry or failure signal.
DISPATCH-03	existing	8	F0205,F0212,F0213,F0230,F0231,F0233,F0236,F0243	the event row is committed when session_scope exits and enqueue_for_event then opens its own transaction, so a failure between the two leaves a persisted event with no delivery rows.
MIGRATION-01	existing	36	F0805,F0806,F0807,F0808,F0809,F0810,F0811,F0812,F0866,F0884,F0923,F0924,F0925,F0926,F0927,F0928,F0929,F0930,F0931,F0932,F0933,F0934,F0935,F0936,F0937,F0938,F0939,F0940,F0941,F0942,F0943,F0944,F0945,F0946,F0947,F0948	CREATE UNIQUE INDEX idx_webhook_deliveries_event on webhook_deliveries (event_id) permits only one delivery row per event, so fan-out to a second endpoint violates the index and the whole enqueue fails.
MIGRATION-02	existing	36	F0814,F0815,F0816,F0836,F0858,F0867,F0868,F0877,F0893,F0894,F0895,F0896,F0897,F0898,F0899,F0900,F0901,F0902,F0903,F0904,F0905,F0906,F0907,F0908,F0909,F0910,F0911,F0912,F0913,F0914,F0915,F0916,F0917,F0920,F0921,F0922	_finish writes the status failed_permanent, which the migration's CHECK constraint ('pending','in_flight','delivered','failed') does not allow, so a permanent failure cannot be recorded.
MIGRATION-03	existing	35	F0817,F0818,F0819,F0820,F0821,F0822,F0823,F0824,F0825,F0826,F0827,F0828,F0829,F0830,F0831,F0832,F0833,F0834,F0835,F0840,F0841,F0842,F0843,F0844,F0845,F0846,F0847,F0848,F0849,F0850,F0851,F0852,F0853,F0854,F0855	the migration adds organizations.webhooks_enabled NOT NULL DEFAULT FALSE but no code in the change reads it, so the flag has no effect on endpoint creation or delivery.
MIGRATION-04	existing	24	F0813,F0839,F0861,F0863,F0864,F0865,F0869,F0870,F0871,F0872,F0873,F0874,F0875,F0876,F0878,F0879,F0881,F0882,F0883,F0885,F0886,F0887,F0888,F0889	the only index available to the claim query is on status, while _claim_batch also filters on and orders by next_attempt_at, so the pending set is sorted on every poll.
MIGRATION-05	existing	1	F0880	no index supports list_deliveries, which filters on endpoint_id and orders by created_at DESC with neither column indexed.
MIGRATION-08	existing	1	F0891	the migration contains only forward DDL with no down or rollback section, so the two new tables and the organizations column cannot be reverted by the migration tool.
MODELS-01	existing	36	F0602,F0603,F0604,F0617,F0620,F0623,F0624,F0627,F0628,F0629,F0631,F0632,F0633,F0634,F0635,F0636,F0637,F0638,F0639,F0640,F0641,F0642,F0643,F0644,F0645,F0646,F0647,F0648,F0649,F0650,F0651,F0652,F0653,F0654,F0655,F0656	WebhookEndpoint.to_dict includes signing_secret, so GET /v1/settings/webhook-endpoints returns every endpoint's signing secret rather than exposing it only in the creation response.
MODELS-03	existing	5	F0859,F0860,F0890,F0918,F0919	models.py declares created_at, updated_at and next_attempt_at as DateTime(timezone=True) while migration 0042 creates them as TIMESTAMP without time zone, so offsets are dropped on write.
MODELS-04	existing	15	F0605,F0606,F0607,F0608,F0609,F0610,F0611,F0612,F0613,F0614,F0615,F0618,F0619,F0626,F0630	the STATUSES tuple is referenced by no column, validator, or check, and lists failed_permanent where the migration's CHECK lists failed.
MODELS-05	existing	1	F0621	WebhookDelivery.updated_at has a creation default but no onupdate, so writes that do not go through _finish, such as the in_flight flip, leave the timestamp stale.
MODELS-07	existing	1	F0625	WebhookDelivery.event_type is declared String(100) in the model while the migration creates the column as unbounded TEXT.
NEWDEL-01	existing	15	F0072,F0076,F0114,F0115,F0120,F0149,F0266,F0267,F0268,F0400,F0401,F0514,F0515,F0516,F0522	_claim_batch orders by next_attempt_at and list_deliveries orders by created_at, both non-unique wall-clock timestamps with no unique tie-break ahead of the LIMIT, so the order among tied rows is undefined.
NEWDEL-02	existing	12	F0347,F0348,F0349,F0350,F0351,F0352,F0393,F0394,F0582,F0583,F0584,F0585	run_worker's poll body wraps _claim_batch, asyncio.gather and the Redis calls in a try whose only clause is finally, so any exception propagates out of the while True loop and terminates the worker.
