id	arm	review	part	severity	target	file	title	what_is_wrong
F0001	N	3	a	Major	app/api/routes/settings.py	`app/api/routes/settings.py` — `create_webhook_endpoint`, `list_webhook_endpoints`, `list_deliveries` (and pre-existing in `get_profile`, `list_api_keys`); `app/webhooks/delivery.py` — `enqueue_for_event`	FastAPI `async def` handlers perform blocking database I/O	All of these are `async def` but call the synchronous `session_scope()` / `session.query(...)`, so the blocking DB call runs on the event loop rather than in the threadpool FastAPI would use for a `def` handler; `enqueue_for_event` is declared `async` and awaits nothing at all.
F0002	N	4	c	Critical	app/api/routes/settings.py	"`app/api/routes/settings.py` — `create_webhook_endpoint`, `if not parsed.scheme.startswith(""http"")`; `app/webhooks/delivery.py` — `httpx.AsyncClient(..., follow_redirects=True)`"	SSRF — `http://` and internal hosts are accepted, and redirects are followed (R47)	The guard adjudicates the URL's surface form with a `startswith` on the scheme — which admits plain `http`, and admits any scheme merely *prefixed* with `http` such as `httpx://` — performs no check on the resolved host, and the delivery client then follows redirects, so even a validated public URL can bounce the signed request to `169.254.169.254` or an RFC 1918 address.
F0003	W2	6	c	Critical	app/api/routes/settings.py	"`app/api/routes/settings.py` — `create_webhook_endpoint` (`if not parsed.scheme.startswith(""http"") or not parsed.netloc`) together with `app/webhooks/delivery.py::run_worker` (`httpx.AsyncClient(..., follow_redirects=True)`)"	SSRF — endpoint URL is barely validated, never re-validated, and redirects are followed	"`scheme.startswith(""http"")` admits `http://`, and any scheme spelled with that prefix, against a doc that states ""Only `https://` URLs are accepted"", and nothing rejects loopback/link-local/RFC1918 hosts either at registration or at send time, while `follow_redirects=True` lets a validated public host redirect the request into the internal network."
F0004	W2	3	a	Critical	app/api/routes/settings.py	`app/api/routes/settings.py` — `create_webhook_endpoint`, and `app/webhooks/delivery.py` — `run_worker`	SSRF — the URL check judges the notation, not the host, and the client follows redirects	"the guard is `not parsed.scheme.startswith(""http"") or not parsed.netloc`, which admits plain `http://` (docs say ""Only `https://` URLs are accepted"") and any scheme merely prefixed with `http`, performs no resolution of the host at all, and the delivery client is constructed with `follow_redirects=True` so even a validated public host can bounce the request to a private address (R47: the URL parser and the DNS resolver define the meaning; a string-prefix test reimplements them approximately, and every unlisted spelling of ""internal"" is a bypass)."
F0005	N	4	a	Critical	app/api/routes/settings.py	"`app/api/routes/settings.py` — `create_webhook_endpoint`, `if not parsed.scheme.startswith(""http"") or not parsed.netloc`; `app/webhooks/delivery.py` — `httpx.AsyncClient(..., follow_redirects=True)`"	SSRF — the endpoint URL is adjudicated by string prefix and requests follow redirects	"the guard judges the notation of the URL rather than asking the resolver what it points at — `startswith(""http"")` admits `httpx://`, `httpsomething://`, and plain `http://`, admits `http://169.254.169.254/`, `http://localhost:6379/`, `http://10.0.0.5/`, and the docs' claim ""Only `https://` URLs are accepted"" is simply false; `follow_redirects=True` then lets a public HTTPS host 302 the request into the private network with our headers and body attached (R47 Critical branch — every unenumerated spelling of ""internal"" is a fail-open bypass)."
F0006	N	2	a	Critical	app/api/routes/settings.py	"app/api/routes/settings.py — `create_webhook_endpoint`, `if not parsed.scheme.startswith(""http"")`"	URL acceptance is decided by string prefix, not by the URL grammar (R47)	"the guard adjudicates the notation rather than consulting the interpreter that gives the URL meaning — verified by execution, `urlparse(""httpx://x/y"").scheme.startswith(""http"")` is `True`, and plain `http://` passes too, while `docs/webhooks.md` states ""Only `https://` URLs are accepted""."
F0007	W2	1	a	Major	app/api/routes/settings.py	"`app/api/routes/settings.py` — `create_webhook_endpoint`, `if not parsed.scheme.startswith(""http"") or not parsed.netloc`"	URL validation accepts plain HTTP and any internal address	"`startswith(""http"")` admits `http://` (the docs say ""Only `https://` URLs are accepted"") and any scheme merely beginning with those four characters, and nothing rejects private, loopback, or link-local hosts — while `run_worker` builds its client with `follow_redirects=True`, so even an allowed host can redirect the signed POST anywhere (RS3: the check is in the handler body rather than at the schema level, and it is the wrong check)."
F0008	N	1	c	Critical	app/api/routes/settings.py	"app/api/routes/settings.py — `create_webhook_endpoint`, `if not parsed.scheme.startswith(""http"")`"	URL validation adjudicates the notation, not the parsed scheme	"The guard tests a prefix of the scheme string rather than membership in a whitelist, so `httpfoo://`, `http+unix://`, and any other scheme beginning with `http` pass, while `docs/webhooks.md` states ""Only `https://` URLs are accepted"" — plaintext `http://` is accepted too (R47: surface-form adjudication where the URL parser and the HTTP client define the meaning; R49: the doc claim exceeds the implementation)."
F0009	N	2	c	Critical	app/api/routes/settings.py	"`app/api/routes/settings.py` — `create_webhook_endpoint()` (`parsed.scheme.startswith(""http"")`); `app/webhooks/delivery.py` — `run_worker()` (`follow_redirects=True`)"	URL validation admits `http://` and every internal address, and the client follows redirects	"the gate adjudicates the URL by string surface (`scheme.startswith(""http"")` accepts `http`, and any scheme whose spelling begins with those four characters) with no host resolution, and the delivery client then follows redirects, so a registered endpoint can point the signed POST at `http://169.254.169.254/`, `http://localhost:6379/`, or a public host that 302s to one."
F0010	W2	3	b	Critical	app/api/routes/settings.py	"`app/api/routes/settings.py` — `create_webhook_endpoint`, `if not parsed.scheme.startswith(""http"") or not parsed.netloc`; `app/webhooks/delivery.py` — `httpx.AsyncClient(..., follow_redirects=True)`"	URL validation admits internal targets, and the client follows redirects	"The only check is a scheme prefix match and a non-empty netloc, so `http://127.0.0.1:6379/`, `http://169.254.169.254/latest/meta-data/`, `http://10.0.0.5/internal` and even `httpfoo://x` all pass, and `follow_redirects=True` means a public host can redirect the worker into the same targets after the check (RS3/RS5); `docs/webhooks.md` claims ""Only `https://` URLs are accepted"", which the code does not enforce (R49)."
F0011	N	6	b	Minor	app/api/routes/settings.py	`app/api/routes/settings.py` — `create_webhook_endpoint`, `parsed = urlparse(body.url)`	URL validation lives in the handler rather than in the schema (RS3)	`EndpointIn.url` is a bare `str` validated imperatively inside the route body, so the constraint is invisible to the OpenAPI schema and is not reused by any future writer of the same model.
F0012	W2	4	a	Critical	app/api/routes/settings.py	`app/api/routes/settings.py` — `list_deliveries()`	`/webhook-endpoints/{endpoint_id}/deliveries` never checks the endpoint belongs to the caller's org	the query filters only on `WebhookDelivery.endpoint_id` and never joins to `WebhookEndpoint.org_id == user.org_id`, while the two sibling handlers in the same file (`list_api_keys`, `list_webhook_endpoints`) both filter on `org_id` — the tenancy predicate was propagated to two of three new call sites (R3).
F0013	N	4	c	Major	app/api/routes/settings.py	`app/api/routes/settings.py` — `class EndpointIn(BaseModel): url: str; event_types: list[str] = []`	`EndpointIn` performs no schema-level validation of `url` or `event_types` (RS3)	`url` is a bare `str` validated afterwards by hand-rolled logic in the handler rather than at the schema level, and `event_types` accepts any list of arbitrary strings with no membership check and no length cap.
F0014	N	4	b	Major	app/api/routes/settings.py	`app/api/routes/settings.py` — `EndpointIn`, `create_webhook_endpoint`	`EndpointIn` validates nothing beyond the JSON types	`url: str` and `event_types: list[str] = []` carry no length bound, no format constraint, and no membership check, with the only validation done imperatively inside the handler after the model has already accepted the body (RS3: validation belongs at the schema level, not deep in the handler).
F0015	W2	5	b	Critical	app/api/routes/settings.py	`app/api/routes/settings.py` — `list_deliveries`	`GET /webhook-endpoints/{endpoint_id}/deliveries` is not scoped to the caller's organization	the query filters only on `WebhookDelivery.endpoint_id == endpoint_id` with no join back to `WebhookEndpoint.org_id == user.org_id`, unlike its sibling `list_webhook_endpoints` in the same file which does filter on `org_id`.
F0016	N	1	a	Critical	app/api/routes/settings.py	`app/api/routes/settings.py` — `list_deliveries`	`GET /webhook-endpoints/{id}/deliveries` has no tenancy filter — cross-org data disclosure	the query filters on `endpoint_id` alone and never joins `WebhookEndpoint` to check `org_id == user.org_id`, whereas both sibling routes added in the same file (`create_webhook_endpoint`, `list_webhook_endpoints`) do scope by `user.org_id` — R3 incomplete propagation of a security-relevant pattern within a single diff.
F0017	N	4	c	Critical	app/api/routes/settings.py	`app/api/routes/settings.py` — `list_deliveries`, `.filter(WebhookDelivery.endpoint_id == endpoint_id)`	`GET /webhook-endpoints/{id}/deliveries` has no tenancy predicate	The query filters on the caller-supplied `endpoint_id` only and never joins to `WebhookEndpoint.org_id == user.org_id`, unlike the sibling `list_webhook_endpoints` in the same file which does scope by org.
F0018	N	6	c	Critical	app/api/routes/settings.py	`app/api/routes/settings.py` — `list_deliveries()`	`GET /webhook-endpoints/{id}/deliveries` has no tenant scoping	the query filters only on `WebhookDelivery.endpoint_id` and never joins to `WebhookEndpoint.org_id == user.org_id`, while both sibling routes in the same file scope by `user.org_id` (R3, incomplete pattern propagation, security-relevant).
