cluster_id	status	n	member_ids	claim
B2TD-01	existing	1	F1376	docs/webhooks.md describes the deliveries route as returning the most recent attempts for an endpoint belonging to your organization, a scoping the list_deliveries handler does not implement.
DELIVERY-01	existing	66	F0436,F0501,F0594,F0597,F0598,F0599,F0600,F0601,F0602,F0603,F0604,F0737,F0738,F0739,F0740,F0741,F0742,F0743,F0744,F0745,F0746,F0747,F0748,F0749,F0750,F0751,F0752,F0753,F0754,F0755,F0756,F0757,F0758,F0759,F0760,F0761,F0762,F0763,F0764,F0765,F0766,F0767,F0768,F0769,F0770,F0771,F0772,F0773,F0774,F0775,F0776,F0777,F0778,F0779,F0780,F0781,F0782,F0783,F0784,F0785,F0786,F0788,F0789,F0800,F0939,F0953	deliver backs off with the blocking time.sleep(delay) inside an async coroutine, stalling the event loop and every other gathered delivery for the duration.
DELIVERY-02	existing	63	F0438,F0439,F0459,F0460,F0461,F0462,F0463,F0464,F0465,F0466,F0467,F0469,F0470,F0471,F0472,F0473,F0474,F0475,F0476,F0477,F0478,F0479,F0480,F0507,F0508,F0509,F0517,F0518,F0523,F0524,F0525,F0526,F0527,F0528,F0529,F0530,F0531,F0532,F0533,F0534,F0535,F0796,F0804,F0805,F0806,F0814,F0817,F0818,F0821,F0898,F0956,F1034,F1035,F1036,F1038,F1039,F1040,F1041,F1042,F1043,F1049,F1050,F1051	_claim_batch returns ORM rows loaded inside with session_scope(), so later attribute reads in deliver and send_once touch detached, expired instances.
DELIVERY-03	existing	2	F0468,F0596	deliver loads the endpoint inside a session_scope block that closes before send_once reads endpoint.signing_secret and endpoint.url from the detached instance.
DELIVERY-04	existing	66	F0458,F0484,F0485,F0486,F0494,F0495,F0496,F0497,F0502,F0510,F0511,F0512,F0513,F0514,F0515,F0516,F0913,F0914,F0915,F0916,F0917,F0918,F0919,F0920,F0921,F0922,F0923,F0924,F0925,F0926,F0927,F0928,F0929,F0930,F0931,F0932,F0933,F0934,F0935,F0936,F0937,F0938,F0962,F0963,F0964,F0965,F0966,F0967,F0968,F0969,F0970,F0971,F0972,F0973,F0974,F0975,F0976,F0977,F0978,F0979,F0980,F0981,F0994,F0995,F0996,F0997	_acquire_lock reads LOCK_KEY and then sets it as separate operations, so two workers that both observe an empty key both acquire the lock.
DELIVERY-07	existing	1	F0910	the 60-second LOCK_KEY TTL is shorter than a batch's worst-case runtime, so the lock can expire mid-batch and a second worker starts processing the same rows.
DELIVERY-08	existing	6	F0521,F0536,F0807,F0940,F0948,F0952	_claim_batch selects pending rows with no FOR UPDATE SKIP LOCKED and no conditional update, so concurrent claimers can select and deliver the same rows.
DELIVERY-09	existing	61	F0433,F0487,F0632,F0633,F0634,F0635,F0636,F0637,F0638,F0639,F0640,F0641,F0642,F0643,F0644,F0645,F0646,F0647,F0648,F0649,F0650,F0651,F0652,F0653,F0654,F0655,F0656,F0657,F0658,F0659,F0660,F0661,F0662,F0663,F0664,F0665,F0666,F0667,F0668,F0669,F0670,F0671,F0672,F0673,F0674,F0675,F0676,F0677,F0678,F0679,F0680,F0681,F0682,F0683,F0808,F0811,F0812,F0886,F0899,F0900,F1008	rows flipped to in_flight by _claim_batch are moved on only by _finish and nothing resets stale in_flight rows, so a crash or unhandled exception strands them outside the pending query permanently.
DELIVERY-10	existing	8	F0589,F0606,F0684,F0887,F0889,F0890,F0897,F0999	retry state is held in the local attempt counter and attempts/next_attempt_at are written only by the terminal _finish, so progress is lost across restarts and the next_attempt_at schedule is never used.
DELIVERY-11	existing	34	F0421,F0422,F0423,F0424,F0425,F0426,F0427,F0428,F0429,F0430,F0431,F0432,F0440,F0488,F0595,F0607,F0831,F0832,F0833,F0891,F0892,F0893,F0894,F0895,F0896,F0961,F1000,F1001,F1002,F1003,F1004,F1005,F1006,F1007	deliver treats every response outside 200-299 as retryable and re-POSTs it up to MAX_ATTEMPTS, so a 4xx is retried instead of being marked permanent immediately.
DELIVERY-12	existing	9	F0435,F0489,F0590,F0797,F0798,F0888,F0982,F1366,F1367	backoff_for returns exactly BASE_DELAY_SECONDS ** attempt seconds with no randomisation, so there is no jitter and deliveries failing together retry at the same instants.
DELIVERY-13	existing	65	F0447,F0448,F0449,F0450,F0451,F0452,F0453,F0613,F0614,F0615,F0616,F0617,F0618,F0619,F0620,F0621,F0622,F0623,F0624,F0625,F0626,F0627,F0628,F0685,F0686,F0687,F0688,F0689,F0842,F0843,F0844,F0845,F0846,F0847,F0848,F0849,F0850,F0851,F0852,F0853,F0854,F0855,F0856,F0857,F0858,F0859,F0860,F0861,F0862,F0863,F0864,F0865,F0866,F0867,F0868,F0869,F0870,F0871,F0872,F0873,F0874,F0875,F0876,F0877,F1037	enqueue_for_event writes next_attempt_at=datetime.utcnow(), a naive value, while _claim_batch compares against the aware datetime.now(timezone.utc).
