id	arm	review	part	severity	target	file	title	what_is_wrong
F0001	W	7	b	Major	app/api/routes/settings.py	app/api/routes/settings.py — `EndpointIn.event_types`, consumed by app/webhooks/delivery.py `enqueue_for_event`'s `if not endpoint.event_types or event_type in endpoint.event_types`	"An empty `event_types` list is an in-band sentinel meaning ""all events"""	"The empty list is simultaneously a legitimate value of its own domain (""subscribe to nothing"") and the sentinel for ""subscribe to everything"", and the values themselves are never validated against the dispatcher's `WEBHOOK_EVENT_TYPES` allowlist, so a typo like `invoice.payed` is accepted and silently matches nothing."
F0002	W	6	a	Major	app/api/routes/settings.py	app/api/routes/settings.py — `create_webhook_endpoint` (`active=True` hardcoded); app/webhooks/models.py — `WebhookEndpoint.active`	An endpoint can be created but never deactivated, deleted, or rotated	"`active` is written as a literal `True` at creation and no route in the change ever mutates it, and there is no delete route and no secret-rotation route, so the `active` column and the ""endpoint lifecycle"" it implies have no writer."
F0003	W	7	b	Critical	app/api/routes/settings.py	app/api/routes/settings.py — `create_webhook_endpoint`, with app/webhooks/delivery.py `run_worker`'s `follow_redirects=True`	Customer-supplied URL is validated by prefix and followed through redirects (SSRF)	"The check is `parsed.scheme.startswith(""http"")`, which is surface-form adjudication rather than resolution — it admits `http://` cleartext and any scheme merely spelled with that prefix — and there is no check that the host resolves outside the internal network, while the delivery client is constructed with `follow_redirects=True` so even a validated public host can bounce the request to an internal one."
F0004	N	2	b	Critical	app/api/routes/settings.py	"app/api/routes/settings.py — `create_webhook_endpoint` (`if not parsed.scheme.startswith(""http"")`) and app/webhooks/delivery.py — `run_worker` (`follow_redirects=True`), `_finish(..., response.text)`"	Customer-supplied URLs are fetched with redirects followed and no host restriction (SSRF)	"the only check is that the scheme starts with `http` (so `httpx://`, `httpfoo://` and plain `http://` all pass, contradicting the docs' ""Only `https://` URLs are accepted"") with no DNS/IP validation, while the client follows redirects and the full response body is stored in `response_body`."
F0005	W	6	a	Major	app/api/routes/settings.py	app/api/routes/settings.py — `list_deliveries` (`order_by(WebhookDelivery.created_at.desc()).limit(limit)`)	Deliveries are ordered by a non-unique wall-clock column	`created_at` is not a total order — `enqueue_for_event` inserts every row for one event in a single statement, so they share an instant — and the query truncates at `limit` on that tie.
F0006	N	8	b	Critical	app/api/routes/settings.py	app/api/routes/settings.py — `list_deliveries`, `.filter(webhook_models.WebhookDelivery.endpoint_id == endpoint_id)`	Deliveries endpoint has no tenancy check — cross-organization read (IDOR)	The query filters only on the caller-supplied `endpoint_id` and never joins to `WebhookEndpoint.org_id == user.org_id`, unlike its sibling `list_webhook_endpoints` in the same file which does filter on `org_id`.
F0007	W	4	b	Critical	app/api/routes/settings.py	app/api/routes/settings.py — `create_webhook_endpoint`; app/webhooks/delivery.py — `run_worker` (`follow_redirects=True`)	Delivery URL is unvalidated against internal addresses, and the client follows redirects (SSRF)	"The only check is `parsed.scheme.startswith(""http"") and parsed.netloc`, which admits `http://`, `httpfoo://`, `http://127.0.0.1:6379/`, `http://169.254.169.254/latest/meta-data/` and `http://[::1]/`, and the delivery client then follows redirects, so even an initially-external host can bounce the request inward (RS3 Critical: an unvalidated externally-supplied value reaching a request sink; `docs/webhooks.md` claims ""Only `https://` URLs are accepted"", which the code does not implement)."
F0008	W	10	b	Critical	app/api/routes/settings.py	app/api/routes/settings.py — `create_webhook_endpoint` (with app/webhooks/delivery.py — `run_worker`, `follow_redirects=True`)	Delivery URLs are unvalidated against internal addresses and redirects are followed — server-side request forgery	"The only check is `parsed.scheme.startswith(""http"")`, which admits `http` (plaintext, contradicting docs/webhooks.md's ""Only `https://` URLs are accepted"") and any scheme spelled with an `http` prefix, and nothing rejects loopback, RFC1918, or link-local hosts while the worker client follows redirects."
F0009	W	6	a	Critical	app/api/routes/settings.py	app/api/routes/settings.py — `list_deliveries`	Delivery history endpoint is not scoped to the caller's organization	The query filters only on `WebhookDelivery.endpoint_id == endpoint_id` and never joins to `WebhookEndpoint.org_id == user.org_id`, while every other handler in this file (`get_profile`, `list_api_keys`, `list_webhook_endpoints`) filters by `user.org_id`.
F0010	W	10	a	Critical	app/api/routes/settings.py	app/api/routes/settings.py — `list_deliveries`	Delivery listing is not scoped to the caller's organization (IDOR)	The query filters only on `WebhookDelivery.endpoint_id` and never joins to `WebhookEndpoint.org_id == user.org_id`, unlike its two siblings in the same diff (`list_webhook_endpoints` and `list_api_keys`) which both filter on `user.org_id`.
F0011	N	12	a	Critical	app/api/routes/settings.py	"app/api/routes/settings.py — `create_webhook_endpoint` (`if not parsed.scheme.startswith(""http"") or not parsed.netloc`) with app/webhooks/delivery.py — `httpx.AsyncClient(..., follow_redirects=True)`"	Endpoint URL validation accepts plaintext HTTP and internal addresses, and redirects are followed	"`scheme.startswith(""http"")` admits `http` (and any scheme merely prefixed with it) though `docs/webhooks.md` states only `https://` is accepted, and nothing rejects loopback, link-local, or RFC1918 hosts, while `follow_redirects=True` means even a correct registration-time check is bypassable by a redirect at delivery time (RS3 boundary validation; R47 surface-form check where the HTTP client defines the meaning)."
