id	arm	review	part	severity	target	file	title	what_is_wrong
F0001	W2	5	c	Critical	app/api/routes/settings.py	"`app/api/routes/settings.py` — `create_webhook_endpoint`, `if not parsed.scheme.startswith(""http"") or not parsed.netloc`; amplified by `app/webhooks/delivery.py` — `httpx.AsyncClient(..., follow_redirects=True)`"	SSRF — any URL is accepted and redirects are followed to internal addresses	"The guard adjudicates the URL's surface form rather than its resolved destination (R47) — `startswith(""http"")` admits `httpx://` and `http+unix://` as well as plain `http://`, and nothing resolves the host, so `http://169.254.169.254/`, `http://127.0.0.1:6379/` and `http://[::1]/` all pass, while `follow_redirects=True` lets even a legitimately-registered public HTTPS endpoint 302 the worker onto those same targets at delivery time."
F0002	W	6	a	Critical	app/api/routes/settings.py	`app/api/routes/settings.py` — `create_webhook_endpoint`; `app/webhooks/delivery.py` — `run_worker` (`follow_redirects=True`), `_finish` (`response_body`)	SSRF — any `http://` URL is accepted, redirects are followed, and the response body is echoed back to the caller	"The only check is `parsed.scheme.startswith(""http"") and parsed.netloc` — a prefix match, not a membership test, so `http://169.254.169.254/latest/meta-data/`, `http://localhost:6379/`, `http://10.0.0.5/admin` and even a scheme like `httpfoo://` pass, while `docs/webhooks.md` claims ""Only `https://` URLs are accepted"" (RS3 escalation: an unvalidated boundary value reaches an outbound request sink)."
F0003	W2	6	c	Critical	app/api/routes/settings.py	"`app/api/routes/settings.py` — `create_webhook_endpoint`, `if not parsed.scheme.startswith(""http"") or not parsed.netloc`; `app/webhooks/delivery.py` — `httpx.AsyncClient(..., follow_redirects=True)`"	SSRF — the URL check is a surface-form scheme test, and the client follows redirects	"The registration guard judges the notation of the URL string and never consults the interpreter that gives it meaning — no DNS resolution, no address-class check, no rejection of loopback/link-local/RFC-1918 targets — and `startswith(""http"")` additionally admits any scheme with that prefix rather than the `https` the docs promise; even a correct registration-time check would be void because `follow_redirects=True` lets the receiver 302 the request to an internal address at delivery time (R47 surface-form adjudication on a security boundary; the check is bound to the name at registration, not to the socket the request opens)."
F0004	N	5	a	Critical	app/api/routes/settings.py	"`app/api/routes/settings.py` — `create_webhook_endpoint()` line `if not parsed.scheme.startswith(""http"") or not parsed.netloc:`, with `app/webhooks/delivery.py` — `httpx.AsyncClient(..., follow_redirects=True)`"	URL validation is a surface-form prefix check, and the client follows redirects — server-side request forgery (R47)	the guard judges the notation of the URL rather than resolving the host through the interpreter that will actually be used, so it accepts `http://` (the docs promise HTTPS only), accepts any scheme merely beginning with `http`, and imposes no restriction on private, loopback, or link-local destinations; `follow_redirects=True` then re-opens even a validated public host.
F0005	N	6	b	Critical	app/api/routes/settings.py	"`app/api/routes/settings.py` — `create_webhook_endpoint`, `if not parsed.scheme.startswith(""http"") or not parsed.netloc`"	URL validation judges the notation, not the resolved destination — plaintext and SSRF both pass	"`startswith(""http"")` admits `http://` (the doc says only `https://` is accepted) and any scheme merely prefixed `http` such as `httpx://`, and nothing resolves the host, so `http://169.254.169.254/`, `http://localhost:6379/`, and `http://10.0.0.5/admin` are all accepted — this is R47 surface-form adjudication where the URL parser and the DNS resolver define the meaning, and it is Critical because the check is the only control on an egress boundary, so every unenumerated spelling is a fail-open bypass. `httpx.AsyncClient(..., follow_redirects=True)` in `delivery.py` compounds it: even a validated public host can 302 the signed request into the internal network."
F0006	W	5	a	Critical	app/api/routes/settings.py	`app/api/routes/settings.py` — `list_deliveries`, the `session.query(...).filter(WebhookDelivery.endpoint_id == endpoint_id)` chain	`/webhook-endpoints/{endpoint_id}/deliveries` has no tenant check — cross-organization data read (R3, security-relevant)	the query filters on the caller-supplied `endpoint_id` alone, while both sibling routes added in the same file filter on `user.org_id` (`list_api_keys`, `list_webhook_endpoints`) — the org predicate was propagated to two of three new query sites and dropped at the third.
F0007	W	4	c	Minor	app/api/routes/settings.py	`app/api/routes/settings.py` — `class EndpointIn`, `event_types: list[str] = []`	`EndpointIn.event_types` accepts arbitrary strings	the field is validated only as a list of strings, with no check against the set of event types the system actually emits, and it is stored straight into JSONB.
F0008	W2	3	c	Minor	app/api/routes/settings.py	`app/api/routes/settings.py` — `class EndpointIn`	`EndpointIn.url` and `event_types` are unconstrained strings	`url: str` and `event_types: list[str] = []` carry no length, count, or element constraints, and `event_types` is stored verbatim into JSONB.
F0009	W2	6	c	Major	app/api/routes/settings.py	`app/api/routes/settings.py` — `class EndpointIn`, `url: str` and `event_types: list[str] = []`	`EndpointIn` accepts an unvalidated URL string and an unbounded list of arbitrary event types	The schema declares only Python types, deferring the URL check to a hand-written `urlparse` test in the handler body and applying no check at all to `event_types`, which is written straight into a JSONB column (RS3: validation belongs at the schema level, and the value's sinks are the finding).
F0010	N	1	b	Major	app/api/routes/settings.py	`app/api/routes/settings.py` — `EndpointIn`, `create_webhook_endpoint`	`EndpointIn` validates types only, so URL length and event-type membership are unchecked	`url: str` and `event_types: list[str] = []` constrain nothing beyond type — no max length on the URL, no bound on list size, and no check that the strings name event types we actually emit — with the only runtime check being the `urlparse` prefix test in the handler rather than at the schema level (RS3).
