cluster_id	status	n	member_ids	claim
R21-API-01	existing	148	F0048,F0049,F0050,F0051,F0052,F0053,F0054,F0055,F0056,F0057,F0058,F0059,F0060,F0061,F0062,F0063,F0064,F0065,F0066,F0067,F0068,F0069,F0070,F0071,F0072,F0073,F0074,F0075,F0076,F0077,F0078,F0079,F0080,F0081,F0082,F0083,F0084,F0085,F0086,F0087,F0088,F0089,F0090,F0091,F0092,F0093,F0094,F0095,F0096,F0097,F0098,F0099,F0100,F0101,F0102,F0103,F0104,F0105,F0106,F0107,F0108,F0109,F0110,F0111,F0112,F0114,F0115,F0116,F0117,F0118,F0119,F0120,F0121,F0122,F0126,F0127,F0128,F0129,F0130,F0131,F0132,F0133,F0134,F0135,F0136,F0137,F0138,F0139,F0140,F0144,F0280,F0282,F0283,F0284,F0285,F0286,F0287,F0288,F0289,F0290,F0291,F0292,F0293,F0294,F0295,F0296,F0297,F0298,F0299,F0300,F0301,F0302,F0303,F0304,F0305,F0306,F0307,F0308,F0309,F0310,F0311,F0312,F0313,F0314,F0315,F0316,F0317,F0318,F0319,F0320,F0321,F0322,F0323,F0324,F0325,F0326,F0327,F0328,F0329,F0638,F1075,F1076,F1077,F1078,F1079,F1080,F1105,F1213	The DELETE /v1/export-schedules/{id} path is not tenant-scoped: `(*exportHandler).delete` never reads `auth.OrgFromContext` and `(*Store).Delete` runs `DELETE FROM export_schedules WHERE id = $1` with no `org_id` predicate, so an authenticated caller from one org can delete another org's schedule by its id.
R21-API-02	existing	35	F0124,F0141,F0142,F0143,F0145,F0146,F0147,F0148,F0149,F0330,F0331,F0332,F0333,F0334,F0335,F0336,F0337,F0338,F0339,F0340,F0639,F0640,F0641,F0642,F0643,F0644,F0645,F0646,F0967,F1114,F1115,F1116,F1117,F1119,F1120	`(*Store).Delete` discards the `sql.Result` from `ExecContext`, so `(*exportHandler).delete` answers 204 for an id that matched no row, making a deletion that removed nothing indistinguishable from one that removed a schedule.
R21-API-03	existing	7	F1143,F1178,F1829,F1845,F1851,F1853,F1984	`exports.Destination` tags `AccessKey`/`SecretKey` as ordinary JSON fields with no redaction or response DTO, so `create` and `list` serialize the customer's destination bucket credentials back in their responses, contradicting docs/scheduled-exports.md's statement that the credentials are never handed back by the API.
R21-API-04	existing	17	F1524,F1526,F1552,F1649,F1650,F1652,F1653,F1659,F1660,F1661,F1662,F1695,F2733,F2913,F2916,F2918,F2919	Nothing caps how many export schedules one org can create — `(*exportHandler).create` performs no per-org count check and the `export_schedules` table carries no count or uniqueness constraint — so a single authenticated org can install unbounded permanent recurring work for the worker.
R21-API-05	existing	25	F0633,F0634,F0635,F1466,F1600,F1730,F1731,F1732,F1864,F1945,F1946,F1947,F2275,F2276,F2277,F2278,F2279,F2280,F2281,F2282,F2283,F2284,F2285,F2286,F2559	`(*exportHandler).create` decodes the request body with a bare `json.NewDecoder(r.Body).Decode(&body)`: there is no `http.MaxBytesReader` bounding the body and no `DisallowUnknownFields`, so an arbitrarily large payload is buffered into memory and a misspelled key such as `time_zone` is silently dropped instead of rejected.
R21-API-07	existing	4	F0661,F1049,F1333,F1334	"`HourOfDay int` in `create`'s request struct uses Go's zero value as both ""field absent"" and the legitimate hour 0, so a request that omits `hour_of_day` is indistinguishable from one explicitly asking for midnight, unlike `Timezone` which gets an explicit default."
R21-API-08	existing	17	F0816,F0817,F0855,F0276,F0605,F0607,F0798,F0799,F0800,F0801,F0802,F0803,F0804,F0812,F0850,F0880,F2544	`(*Schedule).Validate` never checks that `Timezone` resolves through `time.LoadLocation` or that `Destination.Region` is non-empty, and `NextRun` swallows the `LoadLocation` error into `loc = time.UTC`, so an invalid IANA zone is accepted at the API boundary and silently runs in UTC despite the documentation requiring an IANA name.
R21-API-09	existing	2	F0237,F0416	`GET /v1/export-schedules` is unpaginated: `(*Store).ListByOrg` selects every row for the org with no limit or cursor and `(*exportHandler).list` serializes all of them.
R21-API-10	existing	2	F2936,F0984	No route or store method ever changes `Schedule.Enabled` after creation, so there is no way to pause a schedule and the only way to stop one is to delete it, losing the stored destination credentials with it.
R21-API-11	existing	2	F0966,F1217	The first run of a new schedule exports rows from before the schedule existed, because `NextRunAt` is set from creation time while `Worker.export` always reaches one full `window(s.Cadence)` back from the run start — up to seven days for a weekly schedule.
