cluster_id	status	n	member_ids	claim
B2TD-01	existing	1	F2407	docs/webhooks.md describes the deliveries route as returning the most recent attempts for an endpoint belonging to your organization, a scoping the list_deliveries handler does not implement.
B2TD-02	existing	1	F2980	"the test module defines its test secret as the literal ""whsec_testsecret"", duplicating signing.SECRET_PREFIX instead of deriving the value from the constant the same file imports."
DELIVERY-01	existing	108	F0968,F0969,F0970,F0971,F0972,F1151,F1152,F1153,F1154,F1155,F1156,F1157,F1158,F1159,F1160,F1161,F1162,F1163,F1164,F1165,F1166,F1167,F1168,F1169,F1170,F1171,F1172,F1173,F1174,F1175,F1176,F1177,F1178,F1179,F1180,F1181,F1182,F1183,F1184,F1185,F1186,F1187,F1188,F1189,F1190,F1191,F1192,F1193,F1194,F1195,F1196,F1197,F1198,F1199,F1200,F1201,F1202,F1203,F1204,F1205,F1206,F1207,F1208,F1209,F1210,F1211,F1212,F1213,F1214,F1215,F1216,F1217,F1218,F1219,F1220,F1221,F1222,F1223,F1224,F1225,F1226,F1227,F1228,F1229,F1230,F1231,F1232,F1233,F1234,F1235,F1236,F1237,F1238,F1239,F1240,F1241,F1243,F1244,F1245,F1246,F1247,F1248,F1249,F1250,F1280,F1739,F1740,F1741	deliver backs off with the blocking time.sleep(delay) inside an async coroutine, stalling the event loop and every other gathered delivery for the duration.
DELIVERY-02	existing	102	F0779,F0780,F0781,F0782,F0783,F0784,F0785,F0786,F0787,F0788,F0789,F0790,F0791,F0792,F0793,F0794,F0795,F0796,F0797,F0798,F0799,F0800,F0801,F0802,F0803,F0804,F0805,F0806,F0807,F0808,F0809,F0810,F0811,F0812,F0813,F0814,F0815,F0816,F0817,F0818,F0819,F0820,F0821,F0822,F0823,F0824,F0825,F0826,F0827,F0828,F0829,F0830,F0831,F0832,F0833,F0834,F0835,F0836,F0837,F0840,F0847,F0848,F0849,F0850,F0852,F0853,F0854,F0862,F0863,F0864,F0865,F0866,F0867,F0966,F0967,F1285,F1286,F1287,F1296,F1323,F1497,F1498,F1499,F1502,F1588,F1625,F1626,F1627,F1819,F1820,F1821,F1822,F1823,F1824,F1825,F1826,F1827,F1828,F1829,F1830,F1831,F1832	_claim_batch returns ORM rows loaded inside with session_scope(), so later attribute reads in deliver and send_once touch detached, expired instances.
DELIVERY-04	existing	108	F0838,F0843,F0844,F0845,F0846,F1517,F1518,F1519,F1520,F1521,F1522,F1523,F1524,F1525,F1526,F1527,F1528,F1529,F1530,F1531,F1532,F1533,F1534,F1535,F1536,F1537,F1538,F1539,F1540,F1541,F1542,F1543,F1544,F1545,F1546,F1547,F1548,F1549,F1550,F1551,F1552,F1553,F1554,F1555,F1556,F1557,F1558,F1559,F1560,F1561,F1562,F1629,F1630,F1631,F1632,F1633,F1634,F1635,F1636,F1637,F1638,F1639,F1640,F1641,F1642,F1643,F1644,F1645,F1646,F1647,F1648,F1649,F1650,F1651,F1652,F1653,F1654,F1655,F1656,F1657,F1658,F1659,F1660,F1661,F1662,F1663,F1664,F1665,F1666,F1667,F1668,F1669,F1670,F1671,F1672,F1673,F1674,F1675,F1676,F1677,F1678,F1679,F1680,F1728,F1729,F1730,F1731,F1813	_acquire_lock reads LOCK_KEY and then sets it as separate operations, so two workers that both observe an empty key both acquire the lock.
DELIVERY-06	existing	1	F1716	run_worker's finally calls redis_client.delete(LOCK_KEY) with no ownership or fencing check, so a worker that overran the TTL deletes a lock another worker holds.
DELIVERY-07	existing	1	F1436	the 60-second LOCK_KEY TTL is shorter than a batch's worst-case runtime, so the lock can expire mid-batch and a second worker starts processing the same rows.
DELIVERY-08	existing	6	F0860,F0861,F1591,F1599,F1600,F1601	_claim_batch selects pending rows with no FOR UPDATE SKIP LOCKED and no conditional update, so concurrent claimers can select and deliver the same rows.
DELIVERY-09	existing	100	F1007,F1008,F1009,F1010,F1011,F1012,F1013,F1014,F1015,F1016,F1017,F1018,F1019,F1020,F1021,F1022,F1023,F1024,F1025,F1026,F1027,F1028,F1029,F1030,F1031,F1032,F1033,F1034,F1035,F1036,F1037,F1038,F1039,F1040,F1041,F1042,F1043,F1044,F1045,F1046,F1047,F1048,F1049,F1050,F1051,F1052,F1053,F1054,F1055,F1056,F1057,F1058,F1059,F1060,F1061,F1062,F1063,F1064,F1065,F1066,F1067,F1068,F1069,F1070,F1071,F1072,F1073,F1074,F1075,F1076,F1077,F1078,F1079,F1080,F1081,F1082,F1083,F1084,F1085,F1086,F1087,F1088,F1089,F1090,F1091,F1092,F1093,F1094,F1095,F1096,F1252,F1256,F1291,F1292,F1293,F1294,F1438,F1496,F1500,F1501	rows flipped to in_flight by _claim_batch are moved on only by _finish and nothing resets stale in_flight rows, so a crash or unhandled exception strands them outside the pending query permanently.
DELIVERY-10	existing	17	F0960,F0977,F1471,F1472,F1475,F1476,F1490,F1491,F1492,F1493,F1494,F1495,F1724,F1725,F1726,F1766,F1769	retry state is held in the local attempt counter and attempts/next_attempt_at are written only by the terminal _finish, so progress is lost across restarts and the next_attempt_at schedule is never used.
DELIVERY-11	existing	21	F0753,F0755,F0756,F0762,F0763,F0765,F0766,F0767,F0768,F0769,F0770,F0771,F0772,F0773,F0774,F1473,F1474,F1482,F1488,F1742,F1765	deliver treats every response outside 200-299 as retryable and re-POSTs it up to MAX_ATTEMPTS, so a 4xx is retried instead of being marked permanent immediately.
DELIVERY-12	existing	17	F0961,F1279,F1300,F1301,F1302,F1477,F1478,F1563,F1681,F1682,F1683,F1684,F1685,F1686,F1687,F1767,F1768	backoff_for returns exactly BASE_DELAY_SECONDS ** attempt seconds with no randomisation, so there is no jitter and deliveries failing together retry at the same instants.
DELIVERY-13	existing	102	F0777,F0964,F0965,F0990,F0991,F0992,F0993,F0994,F0995,F0996,F0997,F0998,F0999,F1000,F1001,F1002,F1003,F1004,F1005,F1006,F1098,F1254,F1308,F1355,F1356,F1357,F1358,F1359,F1360,F1361,F1362,F1363,F1364,F1365,F1366,F1367,F1368,F1369,F1370,F1371,F1372,F1373,F1374,F1375,F1376,F1377,F1378,F1379,F1380,F1381,F1382,F1383,F1384,F1385,F1386,F1387,F1388,F1389,F1390,F1391,F1392,F1393,F1394,F1395,F1396,F1397,F1398,F1399,F1400,F1401,F1402,F1403,F1404,F1405,F1406,F1407,F1408,F1409,F1410,F1411,F1412,F1413,F1414,F1415,F1416,F1417,F1418,F1419,F1420,F1421,F1422,F1423,F1424,F1425,F1426,F1427,F1428,F1690,F1691,F1833,F1834,F1835	enqueue_for_event writes next_attempt_at=datetime.utcnow(), a naive value, while _claim_batch compares against the aware datetime.now(timezone.utc).
DELIVERY-14	existing	88	F0869,F0870,F0872,F0873,F0874,F0875,F0876,F0877,F0878,F0879,F0880,F0881,F0882,F0883,F0884,F0885,F0886,F0887,F0888,F0889,F0890,F0891,F0892,F0893,F0894,F0895,F0896,F0897,F0898,F0899,F0900,F0901,F0902,F0903,F0904,F0905,F0906,F0907,F0908,F0909,F0910,F0911,F0912,F0913,F0914,F0915,F0916,F0917,F0918,F0919,F0920,F0921,F0922,F0923,F0924,F0925,F0926,F0927,F0928,F0929,F0930,F0931,F0932,F0933,F0934,F0935,F0936,F0937,F0938,F0939,F0940,F0941,F0942,F0943,F0944,F0945,F0946,F0947,F0948,F0949,F0950,F0953,F1147,F1148,F1149,F1150,F1253,F1723	_finish assigns row.status immediately after session.get without a None check, raising AttributeError when the delivery row no longer exists.
DELIVERY-15	existing	4	F0973,F0974,F0975,F0980	deliver passes the result of session.get(m.WebhookEndpoint, ...) to send_once with no None check, so a deleted endpoint row raises AttributeError inside the retry loop.
DELIVERY-16	existing	1	F1437	deliver catches only httpx.HTTPError, so any other exception — including httpx.InvalidURL, a serialisation TypeError, or a database error from _finish — escapes the retry loop with the row left in_flight.
DELIVERY-17	existing	11	F0954,F0955,F0956,F0957,F0958,F0959,F1143,F1263,F1444,F1445,F1564	asyncio.gather is called without return_exceptions=True, so the first delivery to raise propagates out and its sibling coroutines are abandoned.
DELIVERY-18	existing	17	F0962,F0963,F1115,F1116,F1117,F1118,F1119,F1127,F1134,F1135,F1136,F1137,F1138,F1139,F1140,F1141,F1142	batch is assigned only inside the try while if not batch is evaluated after the try/finally, so a failure in _claim_batch can reach the test with batch unbound.
DELIVERY-19	existing	1	F1619	the delivery AsyncClient is constructed with follow_redirects=True, so a receiver can redirect the signed payload and its signature headers to another host.
DELIVERY-20	existing	90	F0776,F1145,F1146,F1295,F1309,F1310,F1311,F1312,F1313,F1314,F1315,F1316,F1317,F1318,F1319,F1320,F1321,F1322,F1324,F1325,F1326,F1332,F1333,F1334,F1338,F1339,F1340,F1457,F1458,F1459,F1462,F1463,F1464,F1465,F1466,F1467,F1468,F1505,F1506,F1507,F1508,F1509,F1510,F1512,F1620,F1621,F1622,F1623,F1624,F1694,F1695,F1696,F1697,F1706,F1707,F1708,F1709,F1710,F1711,F1712,F1713,F1714,F1718,F1719,F1720,F1721,F1722,F1732,F1733,F1770,F1771,F1772,F1773,F1774,F1775,F1776,F1777,F1778,F1779,F1780,F1781,F1782,F1783,F1784,F1785,F1786,F1787,F1788,F1800,F1801	send_once logs the full header dict at INFO, writing the X-Acme-Signature and timestamp values into application logs on every attempt.
DELIVERY-21	existing	60	F0839,F0951,F0952,F1100,F1101,F1102,F1103,F1104,F1105,F1106,F1107,F1108,F1109,F1110,F1111,F1112,F1270,F1275,F1335,F1336,F1337,F1341,F1469,F1470,F1603,F1689,F1693,F1698,F1699,F1700,F1701,F1702,F1703,F1704,F1705,F1727,F1734,F1735,F1736,F1737,F1738,F1802,F1806,F1807,F1836,F1837,F1838,F1839,F1840,F1841,F1842,F1843,F1844,F1845,F1846,F1847,F1848,F1849,F1850,F1851	_finish stores the remote response.text in response_body with no truncation or size bound, so a receiver controls how much content is persisted per attempt.
DELIVERY-23	existing	1	F1266	asyncio.gather fans out the whole claimed batch of up to BATCH_SIZE = 100 deliveries at once with no semaphore or concurrency limit.
DELIVERY-25	existing	2	F0775,F0981	enqueue_for_event, _claim_batch and _finish perform blocking synchronous SQLAlchemy work while called from coroutines, so every database round trip stalls the event loop.
DELIVERY-30	existing	21	F1265,F1288,F1289,F1434,F1461,F1604,F1605,F1606,F1607,F1608,F1609,F1610,F1611,F1612,F1613,F1614,F1615,F1616,F1617,F1618,F2425	the POSTed body is the bare event payload with no event_id or event_type in the body or headers, so a receiver has no id to deduplicate on.
